SAYEDAH RESTAURANTS DUBAI AE,,,,,,,0
PARMAR TOURISM LLC DUBAI AE,Parmar Tourism LLC,"Address: 25-C Street, Al Souk Al Kabeer, Meena Bazaar، Opp. Atithi Restaurant, Bur Dubai - Dubai - United Arab Emirates Hours: Open ⋅ Closes 10PM  ",Phone:  +971 4 386 9622,3.7 21 Google reviews,http://parmartour.com/,https://www.google.com/search?source=hp&ei=cCySXMnFBqrJjwSJ65KIBQ&q=PARMAR+TOURISM+LLC+DUBAI+AE&oq=PARMAR+TOURISM+LLC+DUBAI+AE&gs_l=psy-ab.3...1434.1747..1774...0.0..0.0.0.......0....1..gws-wiz.....0.#,1
BB LEM ALMUZAINI,,,,,,,0
PLAY REST AND LOUNGE DUBAI AE,PLAY Restaurant & Lounge,"Address: The H Hotel Dubai Floor 36, Office Tower One Sheikh Zayed Road - Dubai - United Arab Emirates Hours: Closed ⋅ Opens 6PM  ",Phone:  +971 4 336 4444,4.3 336 Google reviews,http://playrestaurants.com/,https://www.google.com/search?source=hp&ei=hyySXIPsBIaMjwT4yoawAw&q=PLAY+REST+AND+LOUNGE+DUBAI+AE&oq=PLAY+REST+AND+LOUNGE+DUBAI+AE&gs_l=psy-ab.3...1557.1926..1956...0.0..0.0.0.......0....1..gws-wiz.....0.#,1
CARREFOUR DUBAI AE,,,,,,,1
PROCUREMENT COMPANY SAL OFFSHORE ABU DHABI CONSOLIDATED CONTRACTING E NGINEERING,,,,,,,0
RICH AND FAMOUS TRADIN DUBAI AE,Rich and Famous Trading llc,"Address: W.H No 13, Next to Future World & Opp. Flying Elephant - United Arab Emirates ",Phone:  +971 4 347 7334,,,https://www.google.com/search?source=hp&ei=qiySXJTnJqbRjwSDuo-ADQ&q=RICH+AND+FAMOUS+TRADIN+DUBAI+AE&oq=RICH+AND+FAMOUS+TRADIN+DUBAI+AE&gs_l=psy-ab.3...1475.2090..2129...0.0..0.0.0.......0....1..gws-wiz.....0.#,1
HELENA ELECTRONICS TRADING LLC,,,,,,,0
KHATIB AND ALAMI,Khatib & Alami Engineering Consultants Private Limited,"Address: Ashok Vihar, 45, Magrath Rd, Ashok Vihar, Richmond Town, Bengaluru, Karnataka 560025 Hours: Closes soon: 6PM ⋅ Opens 9AM Thu  ",Phone:  080 6146 9200,4.2 38 Google reviews,http://www.khatibalami.com/,https://www.google.com/search?source=hp&ei=wiySXKSuMIvCjgScoZrwCw&q=KHATIB+AND+ALAMI&oq=KHATIB+AND+ALAMI&gs_l=psy-ab.3...1527.1772..1803...0.0..0.0.0.......0....1..gws-wiz.....0.#,1
EMIRATES 1762195564 DUBAI AE,,,,,,,1
EMIRATES 7623105161 DUBAI AE,,,,,,,1
