GRAND AL KAUSAR PHARMA DUBAI AE,Grand Al Kausar Pharmacy,Address: Dubai - United Arab Emirates Hours: Open now · Add full hours  ,Phone:  +971 4 351 1406,3.7 3 Google reviews,,https://www.google.com/search?source=hp&ei=RimSXKvADYmJjwS1v67gAg&q=GRAND+AL+KAUSAR+PHARMA+DUBAI+AE&oq=GRAND+AL+KAUSAR+PHARMA+DUBAI+AE&gs_l=psy-ab.3...1422.1725..1749...0.0..0.0.0.......0....1..gws-wiz.....0.#,1
BAY SQUARE HOTEL LLC DUBAI AE,DoubleTree by Hilton Dubai - Business Bay,Address: Dubai - United Arab Emirates ,Phone:  +971 4 551 1544,"4.5 1,066 Google reviews",http://doubletree3.hilton.com/en/hotels/uae/doubletree-by-hilton-dubai-business-bay-DXBBBDI/index.html?WT.mc_id=zDA0AE1DT2DMH3LocalSearch4DGGeneric_Apr56DXBBBDI7EN8i1,https://www.google.com/search?source=hp&ei=USmSXOLPPOuijwSFvbKAAg&q=BAY+SQUARE+HOTEL+LLC+DUBAI+AE&oq=BAY+SQUARE+HOTEL+LLC+DUBAI+AE&gs_l=psy-ab.3...1353.1634..1655...0.0..0.0.0.......0....1..gws-wiz.....0.#,1
IBIS DEIRA CITY CENTRE DUBAI AE,Hotel ibis Deira City Centre,"Address: 8th Street, Opp. Deira City Centre Port Saeed District - Dubai - United Arab Emirates ",Phone:  +971 4 292 5000,"4.2 1,882 Google reviews",http://www.accorhotels.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6481&merchantid=seo-maps-AE-6481&sourceid=aw-cen,https://www.google.com/search?source=hp&ei=XymSXKOBDKyYjwSG34CgDw&q=IBIS+DEIRA+CITY+CENTRE+DUBAI+AE&oq=IBIS+DEIRA+CITY+CENTRE+DUBAI+AE&gs_l=psy-ab.3...1697.1979..2000...0.0..0.0.0.......0....1..gws-wiz.....0.#,1
UASC UNITED ARAB SHIPPING COMPANY SAG AIRPORT ROAD SAFAT KUWAIT,,,,,,,0
SUPREME CHI ENERGY SPA DUBAI AE,Supreme Energy Spa,Address: Sheikh Zayed Road - Dubai - United Arab Emirates ,Phone:  +971 4 360 8836,4.0 8 Google reviews,http://supremspajlt.com/,https://www.google.com/search?source=hp&ei=dymSXIWWA5HMjgSg8bHYCA&q=SUPREME+CHI+ENERGY+SPA+DUBAI+AE&oq=SUPREME+CHI+ENERGY+SPA+DUBAI+AE&gs_l=psy-ab.3...1467.1841..1869...0.0..0.0.0.......0....1..gws-wiz.....0.#,1
AL JAZEERA FURNIURE ABU DHABI AE,,,,,,,0
RITZ RENT A CAR LLC DUBAI AE,,,,,,,0
HEALTH BAY POLYCLINIC DUBAI ARE,,,,,,,0
KINOKUNIYA BOOK STORES SINGAPORED X OFFICE NO SF ND FLOORTHE,,,,,,,0
THE LOFT FIFTH AVENUE DUBAI AE,,,,,,,0
LE MERIDIEN MINA SEYAH DUBAI AE,Le Méridien Mina Seyahi Beach Resort & Marina,Address: Dubai - United Arab Emirates ,Phone:  +971 4 399 3333,"4.5 2,796 Google reviews",https://www.marriott.com/hotels/travel/dxbms-le-meridien-mina-seyahi-beach-resort-and-marina/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2,https://www.google.com/search?source=hp&ei=yymSXKCNJo2QjgSfnKyYDw&q=LE+MERIDIEN+MINA+SEYAH+DUBAI+AE&oq=LE+MERIDIEN+MINA+SEYAH+DUBAI+AE&gs_l=psy-ab.3...1729.2046..2075...0.0..0.0.0.......0....1..gws-wiz.....0.#,1
WORLD WIDE EMIRATES SERVICES,,,,,,,0
GOVT OF SHARJAH CUSTOM DUTY ACCOUN T UAE UAE COMPANY SIB MAIN BR HOLD M SHARJAH AE,,,,,,,1
EMIRATES GROUP EMIRATES UNITED STATES DELMONICA PLAZA E TH,,,,,,,1
KIDZANIA DUBAI AE,,,,,,,1
ONE ONLY ROYAL MIRAG DUBAI AE,"One&Only Royal Mirage, Dubai",Address: King Salman Bin Abdulaziz Al Saud St - Dubai - United Arab Emirates ,Phone:  +971 4 399 9999,"4.7 1,081 Google reviews",https://www.oneandonlyresorts.com/one-and-only-royal-mirage-dubai?utm_source=GMBlisting&utm_medium=organic&utm_campaign=oorm-royal-mirage-gmb,https://www.google.com/search?source=hp&ei=EiqSXNq1I4fJjwS27Y6QBw&q=ONE+ONLY+ROYAL+MIRAG+DUBAI+AE&oq=ONE+ONLY+ROYAL+MIRAG+DUBAI+AE&gs_l=psy-ab.3...1543.1953..2010...0.0..0.0.0.......0....1..gws-wiz.....0.#,1
AL JASMI MOBILE PHONES DUBAI AE,Al Jasmi Mobile Phones,Address: Dubai - United Arab Emirates Hours: Open ⋅ Closes 12AM  ,Phone:  +971 4 332 2390,4.4 143 Google reviews,,https://www.google.com/search?source=hp&ei=HyqSXK_oKISSjwSRzpV4&q=AL+JASMI+MOBILE+PHONES+DUBAI+AE&oq=AL+JASMI+MOBILE+PHONES+DUBAI+AE&gs_l=psy-ab.3...1722.2128..2164...0.0..0.0.0.......0....1..gws-wiz.....0.#,1
GIRODANO FASHIONS LLC ABU DHABI AE,Giordano,Address: Level 2-C-84 - United Arab Emirates Hours: Open ⋅ Closes 10PM  ,Phone:  +971 55 205 1622,,http://giordano-me.com/,https://www.google.com/search?source=hp&ei=KyqSXLa8JvDWjgSvj6rYDg&q=GIRODANO+FASHIONS+LLC+ABU+DHABI+AE&oq=GIRODANO+FASHIONS+LLC+ABU+DHABI+AE&gs_l=psy-ab.3...1451.1978..2010...0.0..0.0.0.......0....1..gws-wiz.....0.#,1
NINEVEH RENT A CAR LLC DUBAI AE,Nineveh rent a car,Address: 14 Sheikh Khalifah Bin Zayed Rd - Dubai - United Arab Emirates ,Phone:  +971 4 379 5480,3.2 5 Google reviews,,https://www.google.com/search?source=hp&ei=NiqSXLy4A4aJjwTVlaSoCQ&q=NINEVEH+RENT+A+CAR+LLC+DUBAI+AE&oq=NINEVEH+RENT+A+CAR+LLC+DUBAI+AE&gs_l=psy-ab.3...1579.1878..1904...0.0..0.0.0.......0....1..gws-wiz.....0.#,1
APPETITE THE SHOP DUBAI AE,,,,,,,0
FGT INDUSTRIES FZE,FGT INDUSTRIES FZE,Address: Dubai - United Arab Emirates Hours: Open ⋅ Closes 6PM  ,Phone:  +971 4 888 0001,4.0 4 Google reviews,,https://www.google.com/search?source=hp&ei=TCqSXOaYFOaGjwSCoafoBQ&q=FGT+INDUSTRIES+FZE&oq=FGT+INDUSTRIES+FZE&gs_l=psy-ab.3...1425.1665..1717...0.0..0.0.0.......0....1..gws-wiz.....0.#,1
MASDAR OFFSHORE WIND UK LIMITED,,,,,,,0
MCDONALDS AL WARQAA DUBAI AE,,,,,,,1
MAHELE LIMITED,,,,,,,0
YAH ADVANCED SATELLITE,,,,,,,0
EUROCONTROL,Eurocontrol,,,,,,1
THE NAIL SPA DUBAI AE,,,,,,,0
MCDONALDSAL GHURAIR C DUBAI AE,,,,,,,0
THE LIME TREE CAFE LLC DUBAI AE,,,,,,,0
MAB FACILITIES MANAGEMENT LLC,MAB Facilities Management LLC,"Address: Shangri-La Office Towers, Office 702 - Sheikh Zayed Rd - Dubai - United Arab Emirates Hours: Open ⋅ Closes 5:30PM  ",Phone:  +971 4 343 4223,3.8 25 Google reviews,http://www.mab.ae/,https://www.google.com/search?source=hp&ei=xyqSXOHiLePgjwT-8JGwBQ&q=MAB+FACILITIES+MANAGEMENT+LLC&oq=MAB+FACILITIES+MANAGEMENT+LLC&gs_l=psy-ab.3...1370.1799..1858...0.0..0.0.0.......0....1..gws-wiz.....0.#,1
BURJ AL ARAB DUBAI AE,,,,,,,1
JASMINE FOOD COURT DUBAI AE,,,,,,,0
BOEING COMMERCIAL AIRPLANES,,,,,,,1
WUERTH FINANCE INTER,,,,,,,1
ARMAN CAFE DUBAI AE,Arman Cafe,Address: Al Maktoum Rd - Dubai - United Arab Emirates Hours: Open 24 hours  ,Phone:  +971 4 229 2983,3.9 48 Google reviews,,https://www.google.com/search?source=hp&ei=DiuSXKm2IYfvjwS6moWQDg&q=ARMAN+CAFE+DUBAI+AE&oq=ARMAN+CAFE+DUBAI+AE&gs_l=psy-ab.3...1437.1620..1642...0.0..0.0.0.......0....1..gws-wiz.....0.#,1
LMC CONCENTRATION,,,,,,,0
