NORTH TOURS LLC DUBAI AE,North Tours - Desert Safari Dubai,"Address: 3206, Churchill Towers, Business Bay - Dubai - United Arab Emirates ",Phone:  +971 52 904 2805,3.8 56 Google reviews,http://www.northtours.net/contact.html,https://www.google.com/search?source=hp&ei=dimSXLT4D4zMjwTPsYPgDw&q=NORTH+TOURS+LLC+DUBAI+AE&oq=NORTH+TOURS+LLC+DUBAI+AE&gs_l=psy-ab.3...1425.1683..1707...0.0..0.0.0.......0....1..gws-wiz.....0.#,1
ORANGE SA,,,,,,,1
APPLE CREEK CAF RES DUBAI AE,Apple Cafe & Restaurant,Address: 31 Baniyas Rd - Dubai - United Arab Emirates Hours: Open ⋅ Closes 12AM  ,Phone:  +971 4 227 4446,3.7 180 Google reviews,,https://www.google.com/search?source=hp&ei=jymSXO6lBOTZjwTa3Y2IBA&q=APPLE+CREEK+CAF+RES+DUBAI+AE&oq=APPLE+CREEK+CAF+RES+DUBAI+AE&gs_l=psy-ab.3...1603.1905..1932...0.0..0.0.0.......0....1..gws-wiz.....0.#,1
EPPCO SITE 2 DUBAI AE,,,,,,,0
DR ISMAIL NEW POLYCLIN DUBAI ARE,Dr. Ismail New Polyclinic Discovery Gardens,"Address: Building # 12, Street NO.1, Discovery Garden - Sheikh Zayed Rd - Dubai - United Arab Emirates Hours: Open ⋅ Closes 9:30PM  ",Phone:  +971 4 449 4087,3.1 45 Google reviews,http://drismailhealthcaregroup.com/,https://www.google.com/search?source=hp&ei=pSmSXNadIOGZjwSGtIDYDg&q=DR+ISMAIL+NEW+POLYCLIN+DUBAI+ARE&oq=DR+ISMAIL+NEW+POLYCLIN+DUBAI+ARE&gs_l=psy-ab.3...1505.1993..2020...0.0..0.0.0.......0....1..gws-wiz.....0.#,1
WILSHIRE SUPERMARKET L DUBAI AE,,,,,,,0
MARUTI ENERGY DMCC,,,,,,,0
SWATCH SAHARA CENTRE 2 DUBAI AE,,,,,,,0
SHOEMART DUBAI AE,,,,,,,0
KZ,,,,,,,1
